time,altitude,apoapsis,periapsis,speed,pitch,throttle,mass,dynamic_pressure
63.23,14741.01,35209.67,-594025.71,621.89,67.4832763671875,1.0,370487.22,22016.47
64.26,15327.14,36960.27,-593607.52,639.48,66.5198974609375,1.0,366494.81,20770.35
65.28,15953.44,38856.08,-593131.65,658.17,65.5107421875,1.0,362336.03,19474.91
66.3,16556.97,40712.3,-592648.93,676.12,64.60116577148438,1.0,358426.81,18218.45
67.31,17201.6,42717.72,-592096.18,695.18,63.452392578125,1.0,354351.22,16921.32
68.33,17848.44,44763.11,-591511.95,714.25,62.5064697265625,1.0,350358.84,15687.47
69.35,18510.64,46885.9,-590875.97,733.7,61.4095458984375,1.0,346366.44,14500.65
70.36,19174.01,49042.54,-590199.94,753.1,60.334259033203125,1.0,342457.19,13392.99
71.39,19866.87,51327.0,-589450.32,773.3,59.224853515625,1.0,338464.78,12321.57
72.39,20590.28,53743.2,-588614.79,794.31,57.96038818359375,1.0,334389.19,11287.7
73.43,21330.0,56255.74,-587710.51,815.75,56.86846923828125,1.0,330313.59,10305.34
74.44,22070.53,58807.65,-586746.86,837.16,55.62786865234375,1.0,326321.19,9386.46
75.46,22842.75,61507.44,-585676.58,859.43,54.3680419921875,1.0,322245.59,8501.86
76.47,23615.16,64249.49,-584537.93,881.66,53.115386962890625,1.0,318253.19,7695.38
77.51,24419.94,67150.04,-583274.97,904.77,51.798004150390625,1.0,314177.62,6938.02
78.54,25274.99,70278.99,-581841.84,929.29,50.3974609375,1.0,309935.69,6221.0
79.56,26113.21,73402.98,-580348.17,953.32,49.12469482421875,1.0,305860.06,5575.99
80.59,26950.16,76568.63,-578756.63,977.27,47.697296142578125,1.0,301867.66,4973.02
81.63,27802.66,79843.11,-577028.79,1001.64,46.29754638671875,1.0,297875.25,4416.42
82.66,28688.84,83303.1,-575114.0,1026.97,44.832305908203125,1.0,293716.53,3890.69
83.68,29628.09,87032.66,-572944.53,1053.81,43.324859619140625,1.0,289557.72,3422.23
84.69,30527.65,90666.39,-570724.53,1079.51,41.8009033203125,1.0,285565.31,3025.89
85.7,31461.27,94497.02,-568261.16,1106.18,40.23870849609375,1.0,281489.75,2671.88
86.72,32390.57,98388.08,-565649.02,1132.78,38.860565185546875,1.0,277497.31,2368.64
87.74,33334.25,102411.76,-562817.76,1159.82,37.299957275390625,1.0,273504.91,2098.67
88.76,34332.18,106744.05,-559613.23,1188.45,35.6583251953125,1.0,269346.16,1842.02
89.78,35324.54,111138.26,-556201.1,1216.96,34.01312255859375,1.0,265270.56,1616.16
90.79,36289.38,115492.97,-552652.59,1244.74,32.352691650390625,1.0,261278.16,1420.0
91.81,37308.33,120183.1,-548641.3,1274.14,30.705596923828125,1.0,257285.73,1248.15
92.81,38318.73,124425.1,-544845.39,1299.56,29.03765869140625,1.0,253759.19,1098.47
93.83,39354.24,126227.62,-543101.73,1306.5,27.738037109375,1.0,252490.2,946.81
94.84,40389.66,128029.07,-541298.31,1313.51,26.276641845703125,1.0,251195.33,816.8
95.85,41466.98,129880.19,-539347.36,1320.81,24.736480712890625,1.0,249900.45,707.76
96.9,42501.47,131631.97,-537399.87,1327.82,23.126434326171875,1.0,248631.47,617.11
97.9,43556.18,133385.0,-535335.57,1334.96,21.437835693359375,1.0,247336.58,534.23
98.92,44630.71,135136.34,-533148.96,1342.22,19.74951171875,1.0,246015.81,460.02
99.96,45682.62,136812.83,-530923.94,1349.31,18.0294189453125,1.0,244720.94,396.62
100.97,46732.58,138435.54,-528614.14,1356.32,16.7440185546875,1.0,243426.06,341.57
101.97,47780.31,140051.93,-526230.99,1363.43,16.464996337890625,1.0,242131.19,293.95
102.98,48805.01,141693.18,-523838.3,1370.67,16.43017578125,1.0,240862.22,253.45
103.99,49827.78,143367.91,-521380.97,1378.11,16.35272216796875,1.0,239593.23,217.84
104.99,50827.88,145046.41,-518910.35,1385.6,16.3165283203125,1.0,238350.12,187.22
106.01,51826.31,146765.5,-516375.52,1393.3,16.294677734375,1.0,237107.06,160.54
107.02,52864.64,148601.2,-513664.84,1401.53,16.279327392578125,1.0,235812.19,136.56
108.04,53901.34,150485.09,-510880.49,1409.99,16.272216796875,1.0,234517.31,116.07
108.06,53901.34,150485.09,-510880.49,1409.99,16.272216796875,1.0,234517.31,116.07
112.77,58461.13,150636.13,-510620.6,1384.67,16.188232421875,0.0,190779.61,50.13
113.78,59426.47,150633.36,-510619.89,1379.02,16.110870361328125,0.0,190779.61,41.16
114.79,60445.92,150630.86,-510619.33,1373.04,16.038726806640625,0.0,190779.61,33.27
115.81,61419.36,150628.82,-510618.95,1367.33,15.984619140625,0.0,190779.61,27.07
116.82,62367.22,150627.12,-510618.69,1361.77,15.950225830078125,0.0,190779.61,22.09
117.82,63289.88,150625.71,-510618.51,1356.34,15.937713623046875,0.0,190779.61,17.79
118.84,64168.22,150624.59,-510618.4,1351.18,15.947723388671875,0.0,190779.61,13.97
119.85,65099.69,150623.62,-510618.34,1345.69,15.98394775390625,0.0,190779.61,10.3
120.87,66025.56,150622.89,-510618.31,1340.23,16.047821044921875,0.0,190779.61,7.07
121.88,66945.85,150622.35,-510618.3,1334.8,16.139862060546875,0.0,190779.61,4.36
122.88,67917.56,150621.96,-510618.31,1329.05,16.267913818359375,0.0,190779.61,2.13
123.89,68807.51,150621.73,-510618.33,1323.78,16.412384033203125,0.0,190779.61,0.73
124.9,69729.68,150621.57,-510618.34,1318.32,16.587860107421875,0.0,190779.61,0.04
125.91,70664.77,150621.51,-510618.35,1312.77,16.789703369140625,0.0,190779.61,0.0
126.91,71612.4,150621.45,-510618.35,1307.14,17.01507568359375,0.0,190779.61,0.0
127.93,72517.02,150621.39,-510618.36,1301.76,17.24560546875,0.0,190779.61,0.0
128.93,73415.92,150621.33,-510618.36,1296.4,17.48492431640625,0.0,190779.61,0.0
129.94,74290.96,150621.3,-510618.37,1291.18,17.72332763671875,0.0,190779.61,0.0
130.96,75160.48,150621.18,-510618.38,1285.98,17.9610595703125,0.0,190779.61,0.0
131.97,76042.52,150621.1,-510618.38,1280.7,18.1986083984375,0.0,190779.61,0.0
132.99,76918.9,150621.02,-510618.39,1275.45,18.426422119140625,0.0,190779.61,0.0
134.02,77825.06,150620.97,-510618.39,1270.01,18.64898681640625,0.0,190779.61,0.0
135.03,78725.12,150620.95,-510618.39,1264.6,18.852630615234375,0.0,190779.61,0.0
136.07,79566.63,150620.87,-510618.4,1259.53,19.02392578125,0.0,190779.61,0.0
137.08,80437.48,150620.81,-510618.41,1254.28,19.17877197265625,0.0,190779.61,0.0
138.1,81268.02,150620.78,-510618.41,1249.27,19.30303955078125,0.0,190779.61,0.0
139.11,82144.59,150620.73,-510618.41,1243.96,19.407501220703125,0.0,190779.61,0.0
140.14,82981.06,150620.65,-510618.42,1238.89,19.480804443359375,0.0,190779.61,0.0
141.16,83795.06,150620.58,-510618.43,1233.95,19.52685546875,0.0,190779.61,0.0
142.18,84586.92,150620.49,-510618.44,1229.14,19.548095703125,0.0,190779.61,0.0
143.19,85440.44,150620.47,-510618.44,1223.94,19.54583740234375,0.0,190779.61,0.0
144.22,86271.38,150620.4,-510618.44,1218.87,19.52001953125,0.0,190779.61,0.0
145.23,87096.58,150620.36,-510618.45,1213.83,19.473663330078125,0.0,190779.61,0.0
146.24,87867.03,150620.32,-510618.45,1209.12,19.41387939453125,0.0,190779.61,0.0
147.26,88697.34,150620.3,-510618.45,1204.03,19.33477783203125,0.0,190779.61,0.0
148.26,89505.57,150620.24,-510618.46,1199.06,19.246612548828125,0.0,190779.61,0.0
149.28,90276.11,150620.2,-510618.46,1194.32,19.155670166015625,0.0,190779.61,0.0
150.29,91057.29,150620.17,-510618.47,1189.51,19.060333251953125,0.0,190779.61,0.0
151.3,91848.8,150620.15,-510618.47,1184.62,18.964202880859375,0.0,190779.61,0.0
152.32,92603.25,150620.06,-510618.48,1179.96,18.876678466796875,0.0,190779.61,0.0
153.33,93368.08,150620.02,-510618.48,1175.22,18.795562744140625,0.0,190779.61,0.0
154.34,94142.93,150619.99,-510618.48,1170.41,18.72467041015625,0.0,190779.61,0.0
155.35,94912.13,150619.97,-510618.49,1165.63,18.6688232421875,0.0,190779.61,0.0
156.39,95690.9,150619.92,-510618.49,1160.78,18.62994384765625,0.0,190779.61,0.0
157.4,96418.52,150619.88,-510618.5,1156.24,18.611907958984375,0.0,190779.61,0.0
158.41,97155.97,150619.84,-510618.5,1151.63,18.61358642578125,0.0,190779.61,0.0
159.43,97917.81,150619.8,-510618.51,1146.85,18.637603759765625,0.0,190779.61,0.0
160.45,98673.82,150619.76,-510618.51,1142.11,18.6846923828125,0.0,190779.61,0.0
161.46,99380.05,150619.7,-510618.52,1137.67,18.749725341796875,0.0,190779.61,0.0
162.47,100081.16,150620.26,-510619.73,1133.25,18.83648681640625,0.0,190779.61,0.0
163.49,100748.27,150620.26,-510619.73,1129.04,18.94952392578125,0.0,190779.61,0.0
164.53,101482.4,150620.26,-510619.73,1124.39,19.092498779296875,0.0,190779.61,0.0
165.54,102153.85,150620.26,-510619.73,1120.14,19.238494873046875,0.0,190779.61,0.0
166.54,102848.66,150620.26,-510619.73,1115.73,19.402801513671875,0.0,190779.61,0.0
167.55,103524.15,150620.26,-510619.73,1111.43,19.573028564453125,0.0,190779.61,0.0
168.56,104236.29,150620.26,-510619.73,1106.9,19.760894775390625,0.0,190779.61,0.0
169.58,104887.51,150620.26,-510619.73,1102.74,19.9373779296875,0.0,190779.61,0.0
170.59,105547.56,150620.26,-510619.73,1098.51,20.118255615234375,0.0,190779.61,0.0
171.61,106229.74,150620.26,-510619.73,1094.14,20.304168701171875,0.0,190779.61,0.0
172.65,106892.96,150620.26,-510619.73,1089.88,20.48095703125,0.0,190779.61,0.0
173.65,107497.41,150620.26,-510619.73,1085.99,20.636474609375,0.0,190779.61,0.0
174.66,108150.56,150620.26,-510619.73,1081.78,20.7958984375,0.0,190779.61,0.0
175.68,108811.64,150620.26,-510619.73,1077.51,20.945953369140625,0.0,190779.61,0.0
176.69,109428.08,150620.26,-510619.73,1073.52,21.073577880859375,0.0,190779.61,0.0
177.7,110065.65,150620.26,-510619.73,1069.38,21.191650390625,0.0,190779.61,0.0
178.7,110698.0,150620.26,-510619.73,1065.27,21.293365478515625,0.0,190779.61,0.0
179.72,111337.89,150620.26,-510619.73,1061.1,21.3812255859375,0.0,190779.61,0.0
180.76,111921.81,150620.26,-510619.73,1057.29,21.443511962890625,0.0,190779.61,0.0
